#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.113040E+04   0.548930E-01   0.000000E+00   0.340312E+01   0.488639E-07   0.343648E-02  -0.163894E-04
     3   0.105166E+04   0.883310E-01   0.000000E+00   0.425260E+01   0.594270E-07   0.341608E-02  -0.198910E-04
     4   0.978859E+03   0.977760E-01   0.000000E+00   0.435800E+01   0.684313E-07   0.332629E-02  -0.198399E-04
     5   0.922772E+03   0.853627E-01   0.000000E+00   0.402514E+01   0.762250E-07   0.320853E-02  -0.172834E-04
     6   0.881996E+03   0.620561E-01   0.000000E+00   0.348922E+01   0.830089E-07   0.308304E-02  -0.131695E-04
     7   0.853633E+03   0.389040E-01   0.000000E+00   0.289860E+01   0.889651E-07   0.295925E-02  -0.840801E-05
     8   0.834407E+03   0.222287E-01   0.000000E+00   0.234323E+01   0.942226E-07   0.283758E-02  -0.382187E-05
     9   0.822146E+03   0.131094E-01   0.000000E+00   0.186877E+01   0.988899E-07   0.271762E-02  -0.511939E-07
    10   0.815312E+03   0.942275E-02   0.000000E+00   0.149984E+01   0.103035E-06   0.260145E-02   0.256740E-05
    11   0.812350E+03   0.829537E-02   0.000000E+00   0.124445E+01   0.106750E-06   0.249396E-02   0.399473E-05
    12   0.813479E+03   0.771437E-02   0.000000E+00   0.109940E+01   0.110041E-06   0.239530E-02   0.433507E-05
    13   0.816528E+03   0.691453E-02   0.000000E+00   0.104238E+01   0.113005E-06   0.230881E-02   0.374786E-05
    14   0.821379E+03   0.599623E-02   0.000000E+00   0.104348E+01   0.115634E-06   0.222733E-02   0.248092E-05
    15   0.826850E+03   0.531695E-02   0.000000E+00   0.108192E+01   0.117999E-06   0.215101E-02   0.919603E-06
    16   0.834527E+03   0.508035E-02   0.000000E+00   0.114426E+01   0.120105E-06   0.207652E-02  -0.496964E-06
    17   0.844179E+03   0.519017E-02   0.000000E+00   0.121473E+01   0.121979E-06   0.200496E-02  -0.156808E-05
    18   0.854621E+03   0.549155E-02   0.000000E+00   0.128073E+01   0.123654E-06   0.193835E-02  -0.220073E-05
    19   0.866593E+03   0.587085E-02   0.000000E+00   0.133964E+01   0.125141E-06   0.187589E-02  -0.246833E-05
    20   0.878469E+03   0.624543E-02   0.000000E+00   0.138352E+01   0.126448E-06   0.181629E-02  -0.246068E-05
    21   0.890919E+03   0.669596E-02   0.000000E+00   0.142022E+01   0.127595E-06   0.175902E-02  -0.217513E-05
    22   0.903940E+03   0.734250E-02   0.000000E+00   0.145497E+01   0.128604E-06   0.170390E-02  -0.162562E-05
    23   0.917125E+03   0.822719E-02   0.000000E+00   0.149034E+01   0.129484E-06   0.165126E-02  -0.983264E-06
    24   0.930778E+03   0.937111E-02   0.000000E+00   0.152812E+01   0.130240E-06   0.160148E-02  -0.439565E-06
    25   0.945015E+03   0.107582E-01   0.000000E+00   0.156502E+01   0.130885E-06   0.155447E-02  -0.116822E-06
    26   0.959331E+03   0.123678E-01   0.000000E+00   0.160778E+01   0.131429E-06   0.150997E-02  -0.758258E-07
    27   0.974128E+03   0.141744E-01   0.000000E+00   0.165535E+01   0.131882E-06   0.146757E-02  -0.202290E-06
    28   0.989234E+03   0.161402E-01   0.000000E+00   0.170005E+01   0.132250E-06   0.142694E-02  -0.364606E-06
    29   0.100458E+04   0.182830E-01   0.000000E+00   0.174480E+01   0.132533E-06   0.138830E-02  -0.532704E-06
    30   0.102037E+04   0.206242E-01   0.000000E+00   0.178045E+01   0.132732E-06   0.135183E-02  -0.706849E-06
    31   0.103599E+04   0.231338E-01   0.000000E+00   0.181305E+01   0.132859E-06   0.131714E-02  -0.907409E-06
    32   0.105226E+04   0.258082E-01   0.000000E+00   0.183335E+01   0.132925E-06   0.128377E-02  -0.113849E-05
    33   0.106864E+04   0.286312E-01   0.000000E+00   0.184037E+01   0.132933E-06   0.125139E-02  -0.131963E-05
    34   0.108510E+04   0.316567E-01   0.000000E+00   0.183723E+01   0.132886E-06   0.121982E-02  -0.136521E-05
    35   0.110222E+04   0.348925E-01   0.000000E+00   0.181838E+01   0.132788E-06   0.118906E-02  -0.125192E-05
    36   0.111909E+04   0.383593E-01   0.000000E+00   0.179674E+01   0.132642E-06   0.115928E-02  -0.997870E-06
    37   0.113624E+04   0.420664E-01   0.000000E+00   0.176386E+01   0.132453E-06   0.113100E-02  -0.724428E-06
    38   0.115378E+04   0.459926E-01   0.000000E+00   0.171898E+01   0.132224E-06   0.110460E-02  -0.545701E-06
    39   0.117159E+04   0.501524E-01   0.000000E+00   0.166397E+01   0.131956E-06   0.107973E-02  -0.445244E-06
    40   0.118960E+04   0.545720E-01   0.000000E+00   0.160032E+01   0.131652E-06   0.105584E-02  -0.374216E-06
    41   0.120770E+04   0.592722E-01   0.000000E+00   0.152923E+01   0.131314E-06   0.103249E-02  -0.294709E-06
    42   0.122591E+04   0.642500E-01   0.000000E+00   0.145069E+01   0.130943E-06   0.100967E-02  -0.211866E-06
    43   0.124423E+04   0.694968E-01   0.000000E+00   0.136397E+01   0.130543E-06   0.987470E-03  -0.141532E-06
    44   0.126273E+04   0.750018E-01   0.000000E+00   0.126673E+01   0.130116E-06   0.965969E-03  -0.995035E-07
    45   0.128147E+04   0.807512E-01   0.000000E+00   0.115636E+01   0.129664E-06   0.945260E-03  -0.101533E-06
    46   0.130043E+04   0.867340E-01   0.000000E+00   0.103118E+01   0.129188E-06   0.925392E-03  -0.157519E-06
    47   0.131957E+04   0.929617E-01   0.000000E+00   0.891579E+00   0.128692E-06   0.906260E-03  -0.254107E-06
    48   0.133888E+04   0.994444E-01   0.000000E+00   0.738425E+00   0.128176E-06   0.887720E-03  -0.372177E-06
    49   0.135835E+04   0.106192E+00   0.000000E+00   0.572662E+00   0.127643E-06   0.869631E-03  -0.492663E-06
