#    L    TT             EE             TE             PP             TP          
     2   0.113040E+04   0.548930E-01   0.340312E+01   0.101363E+07   0.320334E+05
     3   0.105166E+04   0.883310E-01   0.425260E+01   0.156019E+07   0.379967E+05
     4   0.978859E+03   0.977760E-01   0.435800E+01   0.204412E+07   0.407588E+05
     5   0.922772E+03   0.853627E-01   0.402514E+01   0.247063E+07   0.417985E+05
     6   0.881996E+03   0.620561E-01   0.348922E+01   0.284645E+07   0.418972E+05
     7   0.853633E+03   0.389040E-01   0.289860E+01   0.317913E+07   0.414782E+05
     8   0.834407E+03   0.222287E-01   0.234323E+01   0.347474E+07   0.407235E+05
     9   0.822146E+03   0.131094E-01   0.186877E+01   0.373860E+07   0.397354E+05
    10   0.815312E+03   0.942275E-02   0.149984E+01   0.397440E+07   0.386147E+05
    11   0.812350E+03   0.829537E-02   0.124445E+01   0.418663E+07   0.374828E+05
    12   0.813479E+03   0.771437E-02   0.109940E+01   0.437624E+07   0.363783E+05
    13   0.816528E+03   0.691453E-02   0.104238E+01   0.454779E+07   0.353783E+05
    14   0.821379E+03   0.599623E-02   0.104348E+01   0.470144E+07   0.343927E+05
    15   0.826850E+03   0.531695E-02   0.108192E+01   0.484053E+07   0.334368E+05
    16   0.834527E+03   0.508035E-02   0.114426E+01   0.496565E+07   0.324690E+05
    17   0.844179E+03   0.519017E-02   0.121473E+01   0.507821E+07   0.315135E+05
    18   0.854621E+03   0.549155E-02   0.128073E+01   0.517988E+07   0.306082E+05
    19   0.866593E+03   0.587085E-02   0.133964E+01   0.527133E+07   0.297453E+05
    20   0.878469E+03   0.624543E-02   0.138352E+01   0.535310E+07   0.289086E+05
    21   0.890919E+03   0.669596E-02   0.142022E+01   0.542625E+07   0.280926E+05
    22   0.903940E+03   0.734250E-02   0.145497E+01   0.549183E+07   0.272968E+05
    23   0.917125E+03   0.822719E-02   0.149034E+01   0.555034E+07   0.265288E+05
    24   0.930778E+03   0.937111E-02   0.152812E+01   0.560221E+07   0.257962E+05
    25   0.945015E+03   0.107582E-01   0.156502E+01   0.564801E+07   0.250991E+05
    26   0.959331E+03   0.123678E-01   0.160778E+01   0.568832E+07   0.244348E+05
