#    L    TT             EE             BB             TE          
     2   0.113053E+04   0.548921E-01   0.143244E-05   0.340423E+01
     3   0.105176E+04   0.883284E-01   0.286536E-05   0.425379E+01
     4   0.978930E+03   0.977729E-01   0.477666E-05   0.435902E+01
     5   0.922817E+03   0.853613E-01   0.716698E-05   0.402586E+01
     6   0.882024E+03   0.620588E-01   0.100371E-04   0.348963E+01
     7   0.853652E+03   0.389124E-01   0.133879E-04   0.289877E+01
     8   0.834422E+03   0.222431E-01   0.172204E-04   0.234323E+01
     9   0.822162E+03   0.131294E-01   0.215359E-04   0.186869E+01
    10   0.815332E+03   0.944811E-02   0.263357E-04   0.149972E+01
    11   0.812378E+03   0.832600E-02   0.316210E-04   0.124432E+01
    12   0.813517E+03   0.775071E-02   0.373934E-04   0.109928E+01
    13   0.816578E+03   0.695725E-02   0.436545E-04   0.104227E+01
    14   0.821442E+03   0.604600E-02   0.504059E-04   0.104337E+01
    15   0.826929E+03   0.537426E-02   0.576493E-04   0.108182E+01
    16   0.834622E+03   0.514555E-02   0.653865E-04   0.114417E+01
    17   0.844291E+03   0.526363E-02   0.736192E-04   0.121463E+01
    18   0.854751E+03   0.557371E-02   0.823491E-04   0.128062E+01
    19   0.866741E+03   0.596225E-02   0.915781E-04   0.133951E+01
    20   0.878638E+03   0.634671E-02   0.101308E-03   0.138336E+01
    21   0.891107E+03   0.680771E-02   0.111540E-03   0.142002E+01
    22   0.904149E+03   0.746526E-02   0.122277E-03   0.145473E+01
    23   0.917357E+03   0.836145E-02   0.133519E-03   0.149006E+01
    24   0.931033E+03   0.951732E-02   0.145269E-03   0.152778E+01
    25   0.945293E+03   0.109168E-01   0.157528E-03   0.156463E+01
    26   0.959632E+03   0.125394E-01   0.170297E-03   0.160733E+01
    27   0.974454E+03   0.143594E-01   0.183578E-03   0.165484E+01
    28   0.989586E+03   0.163391E-01   0.197371E-03   0.169947E+01
    29   0.100496E+04   0.184964E-01   0.211679E-03   0.174414E+01
    30   0.102077E+04   0.208525E-01   0.226501E-03   0.177972E+01
    31   0.103643E+04   0.233777E-01   0.241839E-03   0.181222E+01
    32   0.105272E+04   0.260681E-01   0.257693E-03   0.183243E+01
    33   0.106913E+04   0.289077E-01   0.274065E-03   0.183935E+01
    34   0.108562E+04   0.319503E-01   0.290953E-03   0.183610E+01
    35   0.110276E+04   0.352038E-01   0.308360E-03   0.181713E+01
    36   0.111967E+04   0.386887E-01   0.326284E-03   0.179537E+01
    37   0.113685E+04   0.424146E-01   0.344725E-03   0.176235E+01
    38   0.115442E+04   0.463599E-01   0.363685E-03   0.171734E+01
    39   0.117226E+04   0.505394E-01   0.383161E-03   0.166219E+01
    40   0.119030E+04   0.549792E-01   0.403155E-03   0.159839E+01
    41   0.120843E+04   0.596999E-01   0.423665E-03   0.152715E+01
    42   0.122667E+04   0.646988E-01   0.444691E-03   0.144844E+01
    43   0.124503E+04   0.699672E-01   0.466232E-03   0.136155E+01
    44   0.126357E+04   0.754942E-01   0.488288E-03   0.126415E+01
    45   0.128234E+04   0.812660E-01   0.510857E-03   0.115360E+01
    46   0.130133E+04   0.872717E-01   0.533939E-03   0.102824E+01
    47   0.132051E+04   0.935226E-01   0.557532E-03   0.888460E+00
    48   0.133986E+04   0.100029E+00   0.581636E-03   0.735124E+00
    49   0.135936E+04   0.106800E+00   0.606249E-03   0.569176E+00
    50   0.137908E+04   0.113857E+00   0.631370E-03   0.391699E+00
    51   0.139907E+04   0.121216E+00   0.656999E-03   0.203663E+00
    52   0.141928E+04   0.128876E+00   0.683134E-03   0.538142E-02
    53   0.143963E+04   0.136826E+00   0.709774E-03  -0.203206E+00
    54   0.146010E+04   0.145057E+00   0.736919E-03  -0.423018E+00
    55   0.148067E+04   0.153560E+00   0.764566E-03  -0.655343E+00
    56   0.150146E+04   0.162326E+00   0.792716E-03  -0.901855E+00
    57   0.152257E+04   0.171354E+00   0.821367E-03  -0.116320E+01
    58   0.154396E+04   0.180651E+00   0.850519E-03  -0.143910E+01
    59   0.156554E+04   0.190226E+00   0.880171E-03  -0.172896E+01
    60   0.158728E+04   0.200077E+00   0.910323E-03  -0.203181E+01
    61   0.160921E+04   0.210204E+00   0.940973E-03  -0.234678E+01
    62   0.163131E+04   0.220600E+00   0.972123E-03  -0.267395E+01
    63   0.165362E+04   0.231259E+00   0.100377E-02  -0.301361E+01
    64   0.167614E+04   0.242174E+00   0.103592E-02  -0.336606E+01
    65   0.169889E+04   0.253340E+00   0.106857E-02  -0.373165E+01
    66   0.172192E+04   0.264745E+00   0.110171E-02  -0.411070E+01
    67   0.174519E+04   0.276384E+00   0.113536E-02  -0.450246E+01
    68   0.176868E+04   0.288249E+00   0.116950E-02  -0.490590E+01
    69   0.179234E+04   0.300333E+00   0.120415E-02  -0.532004E+01
    70   0.181613E+04   0.312632E+00   0.123930E-02  -0.574408E+01
    71   0.184004E+04   0.325142E+00   0.127495E-02  -0.617765E+01
    72   0.186418E+04   0.337860E+00   0.131111E-02  -0.662186E+01
    73   0.188866E+04   0.350781E+00   0.134777E-02  -0.707799E+01
    74   0.191348E+04   0.363894E+00   0.138494E-02  -0.754624E+01
    75   0.193865E+04   0.377188E+00   0.142262E-02  -0.802648E+01
    76   0.196412E+04   0.390650E+00   0.146081E-02  -0.851842E+01
    77   0.198977E+04   0.404269E+00   0.149951E-02  -0.902065E+01
    78   0.201558E+04   0.418033E+00   0.153873E-02  -0.953269E+01
    79   0.204159E+04   0.431933E+00   0.157846E-02  -0.100544E+02
    80   0.206783E+04   0.445958E+00   0.161872E-02  -0.105856E+02
    81   0.209431E+04   0.460096E+00   0.165950E-02  -0.111262E+02
    82   0.212106E+04   0.474339E+00   0.170080E-02  -0.116754E+02
    83   0.214805E+04   0.488675E+00   0.174263E-02  -0.122330E+02
    84   0.217527E+04   0.503093E+00   0.178499E-02  -0.127980E+02
    85   0.220272E+04   0.517582E+00   0.182789E-02  -0.133702E+02
    86   0.223041E+04   0.532133E+00   0.187131E-02  -0.139488E+02
    87   0.225828E+04   0.546733E+00   0.191528E-02  -0.145334E+02
    88   0.228633E+04   0.561369E+00   0.195979E-02  -0.151237E+02
    89   0.231457E+04   0.576030E+00   0.200485E-02  -0.157194E+02
    90   0.234299E+04   0.590698E+00   0.205045E-02  -0.163203E+02
    91   0.237161E+04   0.605360E+00   0.209660E-02  -0.169261E+02
    92   0.240042E+04   0.620003E+00   0.214331E-02  -0.175366E+02
    93   0.242944E+04   0.634612E+00   0.219057E-02  -0.181513E+02
    94   0.245867E+04   0.649176E+00   0.223840E-02  -0.187699E+02
    95   0.248811E+04   0.663681E+00   0.228678E-02  -0.193921E+02
    96   0.251777E+04   0.678113E+00   0.233574E-02  -0.200172E+02
    97   0.254763E+04   0.692459E+00   0.238526E-02  -0.206450E+02
    98   0.257772E+04   0.706703E+00   0.243535E-02  -0.212750E+02
    99   0.260800E+04   0.720834E+00   0.248602E-02  -0.219066E+02
   100   0.263850E+04   0.734840E+00   0.253727E-02  -0.225394E+02
   101   0.266920E+04   0.748707E+00   0.258910E-02  -0.231728E+02
   102   0.270011E+04   0.762415E+00   0.264152E-02  -0.238066E+02
   103   0.273120E+04   0.775964E+00   0.269452E-02  -0.244400E+02
   104   0.276249E+04   0.789325E+00   0.274811E-02  -0.250725E+02
   105   0.279396E+04   0.802493E+00   0.280230E-02  -0.257037E+02
   106   0.282561E+04   0.815453E+00   0.285709E-02  -0.263329E+02
   107   0.285742E+04   0.828199E+00   0.291247E-02  -0.269596E+02
   108   0.288939E+04   0.840710E+00   0.296846E-02  -0.275833E+02
   109   0.292152E+04   0.852980E+00   0.302506E-02  -0.282032E+02
   110   0.295380E+04   0.864987E+00   0.308227E-02  -0.288191E+02
   111   0.298622E+04   0.876725E+00   0.314009E-02  -0.294303E+02
   112   0.301878E+04   0.888187E+00   0.319854E-02  -0.300361E+02
   113   0.305147E+04   0.899352E+00   0.325760E-02  -0.306362E+02
   114   0.308429E+04   0.910204E+00   0.331729E-02  -0.312300E+02
   115   0.311722E+04   0.920746E+00   0.337760E-02  -0.318169E+02
   116   0.315026E+04   0.930962E+00   0.343855E-02  -0.323964E+02
   117   0.318342E+04   0.940831E+00   0.350014E-02  -0.329680E+02
   118   0.321666E+04   0.950353E+00   0.356237E-02  -0.335311E+02
   119   0.325000E+04   0.959514E+00   0.362525E-02  -0.340853E+02
   120   0.328342E+04   0.968308E+00   0.368877E-02  -0.346299E+02
   121   0.331691E+04   0.976719E+00   0.375295E-02  -0.351645E+02
   122   0.335047E+04   0.984742E+00   0.381779E-02  -0.356885E+02
   123   0.338408E+04   0.992369E+00   0.388330E-02  -0.362015E+02
   124   0.341775E+04   0.999586E+00   0.394947E-02  -0.367028E+02
   125   0.345145E+04   0.100639E+01   0.401632E-02  -0.371920E+02
   126   0.348518E+04   0.101278E+01   0.408385E-02  -0.376686E+02
   127   0.351894E+04   0.101874E+01   0.415207E-02  -0.381321E+02
   128   0.355271E+04   0.102426E+01   0.422097E-02  -0.385819E+02
   129   0.358649E+04   0.102935E+01   0.429058E-02  -0.390177E+02
   130   0.362027E+04   0.103399E+01   0.436089E-02  -0.394389E+02
   131   0.365402E+04   0.103817E+01   0.443191E-02  -0.398449E+02
   132   0.368777E+04   0.104191E+01   0.450364E-02  -0.402354E+02
   133   0.372149E+04   0.104518E+01   0.457610E-02  -0.406099E+02
   134   0.375517E+04   0.104800E+01   0.464929E-02  -0.409678E+02
   135   0.378881E+04   0.105036E+01   0.472321E-02  -0.413088E+02
   136   0.382241E+04   0.105225E+01   0.479787E-02  -0.416325E+02
   137   0.385595E+04   0.105367E+01   0.487328E-02  -0.419382E+02
   138   0.388942E+04   0.105463E+01   0.494945E-02  -0.422256E+02
   139   0.392282E+04   0.105513E+01   0.502637E-02  -0.424945E+02
   140   0.395615E+04   0.105516E+01   0.510407E-02  -0.427442E+02
   141   0.398938E+04   0.105473E+01   0.518254E-02  -0.429746E+02
   142   0.402253E+04   0.105384E+01   0.526179E-02  -0.431850E+02
   143   0.405557E+04   0.105249E+01   0.534183E-02  -0.433752E+02
   144   0.408850E+04   0.105069E+01   0.542267E-02  -0.435449E+02
   145   0.412132E+04   0.104844E+01   0.550431E-02  -0.436934E+02
   146   0.415399E+04   0.104574E+01   0.558675E-02  -0.438207E+02
   147   0.418651E+04   0.104261E+01   0.567000E-02  -0.439261E+02
   148   0.421886E+04   0.103905E+01   0.575408E-02  -0.440094E+02
   149   0.425104E+04   0.103507E+01   0.583898E-02  -0.440702E+02
   150   0.428303E+04   0.103067E+01   0.592471E-02  -0.441080E+02
   151   0.431480E+04   0.102585E+01   0.601127E-02  -0.441226E+02
   152   0.434637E+04   0.102064E+01   0.609867E-02  -0.441136E+02
   153   0.437772E+04   0.101504E+01   0.618692E-02  -0.440809E+02
   154   0.440884E+04   0.100907E+01   0.627602E-02  -0.440243E+02
   155   0.443974E+04   0.100273E+01   0.636597E-02  -0.439434E+02
   156   0.447042E+04   0.996035E+00   0.645677E-02  -0.438380E+02
   157   0.450085E+04   0.988989E+00   0.654843E-02  -0.437080E+02
   158   0.453105E+04   0.981622E+00   0.664096E-02  -0.435531E+02
   159   0.456099E+04   0.973932E+00   0.673435E-02  -0.433730E+02
   160   0.459068E+04   0.965943E+00   0.682861E-02  -0.431677E+02
   161   0.462009E+04   0.957667E+00   0.692374E-02  -0.429369E+02
   162   0.464921E+04   0.949120E+00   0.701974E-02  -0.426805E+02
   163   0.467803E+04   0.940332E+00   0.711660E-02  -0.423981E+02
   164   0.470653E+04   0.931301E+00   0.721434E-02  -0.420898E+02
   165   0.473472E+04   0.922049E+00   0.731295E-02  -0.417553E+02
   166   0.476257E+04   0.912599E+00   0.741243E-02  -0.413945E+02
   167   0.479008E+04   0.902972E+00   0.751278E-02  -0.410073E+02
   168   0.481725E+04   0.893191E+00   0.761400E-02  -0.405938E+02
   169   0.484405E+04   0.883276E+00   0.771609E-02  -0.401538E+02
   170   0.487050E+04   0.873243E+00   0.781903E-02  -0.396873E+02
   171   0.489656E+04   0.863121E+00   0.792285E-02  -0.391943E+02
   172   0.492225E+04   0.852932E+00   0.802752E-02  -0.386747E+02
   173   0.494755E+04   0.842697E+00   0.813304E-02  -0.381284E+02
   174   0.497245E+04   0.832438E+00   0.823942E-02  -0.375556E+02
   175   0.499695E+04   0.822193E+00   0.834665E-02  -0.369563E+02
   176   0.502103E+04   0.811975E+00   0.845472E-02  -0.363306E+02
   177   0.504470E+04   0.801820E+00   0.856363E-02  -0.356783E+02
   178   0.506792E+04   0.791750E+00   0.867337E-02  -0.349996E+02
   179   0.509071E+04   0.781786E+00   0.878394E-02  -0.342946E+02
   180   0.511305E+04   0.771962E+00   0.889533E-02  -0.335633E+02
   181   0.513494E+04   0.762309E+00   0.900754E-02  -0.328058E+02
   182   0.515637E+04   0.752854E+00   0.912056E-02  -0.320224E+02
   183   0.517734E+04   0.743618E+00   0.923438E-02  -0.312131E+02
   184   0.519784E+04   0.734637E+00   0.934900E-02  -0.303781E+02
   185   0.521786E+04   0.725947E+00   0.946440E-02  -0.295175E+02
   186   0.523738E+04   0.717569E+00   0.958059E-02  -0.286315E+02
   187   0.525642E+04   0.709532E+00   0.969755E-02  -0.277203E+02
   188   0.527497E+04   0.701875E+00   0.981529E-02  -0.267841E+02
   189   0.529300E+04   0.694628E+00   0.993377E-02  -0.258231E+02
   190   0.531053E+04   0.687824E+00   0.100530E-01  -0.248377E+02
   191   0.532754E+04   0.681492E+00   0.101730E-01  -0.238280E+02
   192   0.534402E+04   0.675668E+00   0.102937E-01  -0.227943E+02
   193   0.535997E+04   0.670382E+00   0.104152E-01  -0.217367E+02
   194   0.537538E+04   0.665670E+00   0.105373E-01  -0.206558E+02
   195   0.539026E+04   0.661565E+00   0.106602E-01  -0.195517E+02
   196   0.540459E+04   0.658101E+00   0.107838E-01  -0.184250E+02
   197   0.541838E+04   0.655315E+00   0.109080E-01  -0.172759E+02
   198   0.543164E+04   0.653241E+00   0.110330E-01  -0.161048E+02
   199   0.544433E+04   0.651913E+00   0.111586E-01  -0.149120E+02
   200   0.545648E+04   0.651365E+00   0.112849E-01  -0.136980E+02
   201   0.546807E+04   0.651634E+00   0.114118E-01  -0.124631E+02
   202   0.547909E+04   0.652753E+00   0.115394E-01  -0.112078E+02
   203   0.548952E+04   0.654758E+00   0.116676E-01  -0.993232E+01
