#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.113053E+04   0.548906E-01   0.000000E+00   0.340423E+01   0.488636E-07   0.343614E-02  -0.163890E-04
     3   0.105176E+04   0.883255E-01   0.000000E+00   0.425379E+01   0.594270E-07   0.341579E-02  -0.198904E-04
     4   0.978920E+03   0.977681E-01   0.000000E+00   0.435902E+01   0.684313E-07   0.332605E-02  -0.198390E-04
     5   0.922802E+03   0.853542E-01   0.000000E+00   0.402586E+01   0.762250E-07   0.320833E-02  -0.172824E-04
     6   0.882004E+03   0.620488E-01   0.000000E+00   0.348963E+01   0.830089E-07   0.308288E-02  -0.131685E-04
     7   0.853625E+03   0.388990E-01   0.000000E+00   0.289877E+01   0.889651E-07   0.295912E-02  -0.840707E-05
     8   0.834387E+03   0.222259E-01   0.000000E+00   0.234324E+01   0.942226E-07   0.283749E-02  -0.382119E-05
     9   0.822119E+03   0.131079E-01   0.000000E+00   0.186869E+01   0.988899E-07   0.271755E-02  -0.508648E-07
    10   0.815280E+03   0.942178E-02   0.000000E+00   0.149973E+01   0.103035E-06   0.260141E-02   0.256733E-05
    11   0.812316E+03   0.829439E-02   0.000000E+00   0.124434E+01   0.106750E-06   0.249393E-02   0.399430E-05
    12   0.813443E+03   0.771332E-02   0.000000E+00   0.109929E+01   0.110041E-06   0.239528E-02   0.433438E-05
    13   0.816492E+03   0.691360E-02   0.000000E+00   0.104229E+01   0.113005E-06   0.230880E-02   0.374703E-05
    14   0.821344E+03   0.599560E-02   0.000000E+00   0.104341E+01   0.115634E-06   0.222733E-02   0.248013E-05
    15   0.826817E+03   0.531662E-02   0.000000E+00   0.108186E+01   0.117999E-06   0.215100E-02   0.919001E-06
    16   0.834496E+03   0.508019E-02   0.000000E+00   0.114422E+01   0.120105E-06   0.207650E-02  -0.497259E-06
    17   0.844150E+03   0.519004E-02   0.000000E+00   0.121469E+01   0.121979E-06   0.200494E-02  -0.156802E-05
    18   0.854594E+03   0.549140E-02   0.000000E+00   0.128070E+01   0.123654E-06   0.193832E-02  -0.220031E-05
    19   0.866568E+03   0.587072E-02   0.000000E+00   0.133961E+01   0.125141E-06   0.187585E-02  -0.246765E-05
