#    L    TT             EE             TE             PP             TP          
     2   0.113053E+04   0.548906E-01   0.340423E+01   0.101362E+07   0.320303E+05
     3   0.105176E+04   0.883255E-01   0.425379E+01   0.156019E+07   0.379935E+05
     4   0.978920E+03   0.977681E-01   0.435902E+01   0.204412E+07   0.407558E+05
     5   0.922802E+03   0.853542E-01   0.402586E+01   0.247063E+07   0.417958E+05
     6   0.882004E+03   0.620488E-01   0.348963E+01   0.284645E+07   0.418950E+05
     7   0.853625E+03   0.388990E-01   0.289877E+01   0.317913E+07   0.414764E+05
     8   0.834387E+03   0.222259E-01   0.234324E+01   0.347474E+07   0.407222E+05
     9   0.822119E+03   0.131079E-01   0.186869E+01   0.373860E+07   0.397345E+05
    10   0.815280E+03   0.942178E-02   0.149973E+01   0.397440E+07   0.386141E+05
    11   0.812316E+03   0.829439E-02   0.124434E+01   0.418663E+07   0.374825E+05
    12   0.813443E+03   0.771332E-02   0.109929E+01   0.437624E+07   0.363781E+05
    13   0.816492E+03   0.691360E-02   0.104229E+01   0.454779E+07   0.353782E+05
    14   0.821344E+03   0.599560E-02   0.104341E+01   0.470144E+07   0.343926E+05
    15   0.826817E+03   0.531662E-02   0.108186E+01   0.484053E+07   0.334366E+05
    16   0.834496E+03   0.508019E-02   0.114422E+01   0.496565E+07   0.324687E+05
    17   0.844150E+03   0.519004E-02   0.121469E+01   0.507821E+07   0.315132E+05
    18   0.854594E+03   0.549140E-02   0.128070E+01   0.517988E+07   0.306077E+05
    19   0.866568E+03   0.587072E-02   0.133961E+01   0.527133E+07   0.297446E+05
    20   0.878447E+03   0.624547E-02   0.138348E+01   0.535310E+07   0.289079E+05
    21   0.890899E+03   0.669625E-02   0.142016E+01   0.542625E+07   0.280919E+05
    22   0.903923E+03   0.734310E-02   0.145490E+01   0.549183E+07   0.272961E+05
    23   0.917112E+03   0.822808E-02   0.149026E+01   0.555034E+07   0.265280E+05
    24   0.930768E+03   0.937224E-02   0.152802E+01   0.560221E+07   0.257955E+05
    25   0.945008E+03   0.107595E-01   0.156489E+01   0.564801E+07   0.250984E+05
    26   0.959327E+03   0.123694E-01   0.160764E+01   0.568832E+07   0.244342E+05
    27   0.974127E+03   0.141762E-01   0.165519E+01   0.572361E+07   0.237970E+05
    28   0.989238E+03   0.161422E-01   0.169987E+01   0.575424E+07   0.231826E+05
    29   0.100459E+04   0.182853E-01   0.174460E+01   0.578029E+07   0.225950E+05
    30   0.102038E+04   0.206268E-01   0.178023E+01   0.580188E+07   0.220381E+05
    31   0.103601E+04   0.231367E-01   0.181279E+01   0.581953E+07   0.215062E+05
    32   0.105228E+04   0.258114E-01   0.183306E+01   0.583379E+07   0.209919E+05
    33   0.106867E+04   0.286349E-01   0.184005E+01   0.584487E+07   0.204906E+05
    34   0.108513E+04   0.316609E-01   0.183687E+01   0.585293E+07   0.199994E+05
    35   0.110225E+04   0.348972E-01   0.181798E+01   0.585816E+07   0.195190E+05
    36   0.111913E+04   0.383646E-01   0.179629E+01   0.586078E+07   0.190522E+05
    37   0.113629E+04   0.420724E-01   0.176336E+01   0.586099E+07   0.186077E+05
    38   0.115383E+04   0.459991E-01   0.171843E+01   0.585895E+07   0.181922E+05
    39   0.117165E+04   0.501596E-01   0.166337E+01   0.585479E+07   0.178001E+05
    40   0.118966E+04   0.545799E-01   0.159967E+01   0.584861E+07   0.174226E+05
    41   0.120777E+04   0.592808E-01   0.152852E+01   0.584052E+07   0.170526E+05
    42   0.122599E+04   0.642594E-01   0.144991E+01   0.583066E+07   0.166899E+05
    43   0.124432E+04   0.695070E-01   0.136312E+01   0.581914E+07   0.163361E+05
    44   0.126283E+04   0.750128E-01   0.126582E+01   0.580608E+07   0.159927E+05
    45   0.128157E+04   0.807630E-01   0.115537E+01   0.579161E+07   0.156614E+05
    46   0.130053E+04   0.867467E-01   0.103012E+01   0.577584E+07   0.153431E+05
    47   0.131969E+04   0.929752E-01   0.890439E+00   0.575887E+07   0.150360E+05
    48   0.133901E+04   0.994588E-01   0.737206E+00   0.574077E+07   0.147380E+05
    49   0.135849E+04   0.106207E+00   0.571361E+00   0.572164E+07   0.144466E+05
    50   0.137818E+04   0.113240E+00   0.393987E+00   0.570154E+07   0.141597E+05
    51   0.139814E+04   0.120576E+00   0.206050E+00   0.568057E+07   0.138757E+05
    52   0.141832E+04   0.128211E+00   0.786593E-02   0.565877E+07   0.135965E+05
    53   0.143864E+04   0.136136E+00  -0.200627E+00   0.563621E+07   0.133248E+05
    54   0.145908E+04   0.144342E+00  -0.420349E+00   0.561293E+07   0.130633E+05
    55   0.147963E+04   0.152821E+00  -0.652588E+00   0.558898E+07   0.128146E+05
    56   0.150039E+04   0.161561E+00  -0.899020E+00   0.556442E+07   0.125807E+05
    57   0.152147E+04   0.170563E+00  -0.116029E+01   0.553928E+07   0.123598E+05
