#           k/h    P           
   0.100000E-03   0.826450E+03
   0.102020E-03   0.837001E+03
   0.104081E-03   0.847752E+03
   0.106184E-03   0.858707E+03
   0.108329E-03   0.869870E+03
   0.110517E-03   0.881244E+03
   0.112750E-03   0.892834E+03
   0.115027E-03   0.904644E+03
   0.117351E-03   0.916678E+03
   0.119722E-03   0.928940E+03
   0.122140E-03   0.941435E+03
   0.124608E-03   0.954167E+03
   0.127125E-03   0.967140E+03
   0.129693E-03   0.980361E+03
   0.132313E-03   0.993832E+03
   0.134986E-03   0.100756E+04
   0.137713E-03   0.102155E+04
   0.140495E-03   0.103580E+04
   0.143333E-03   0.105033E+04
   0.146228E-03   0.106513E+04
   0.149182E-03   0.108021E+04
   0.152196E-03   0.109558E+04
   0.155271E-03   0.111124E+04
   0.158407E-03   0.112720E+04
   0.161607E-03   0.114346E+04
   0.164872E-03   0.116004E+04
   0.168203E-03   0.117692E+04
   0.171601E-03   0.119413E+04
   0.175067E-03   0.121167E+04
   0.178604E-03   0.122954E+04
   0.182212E-03   0.124775E+04
   0.185893E-03   0.126631E+04
   0.189648E-03   0.128521E+04
   0.193479E-03   0.130448E+04
   0.197388E-03   0.132412E+04
   0.201375E-03   0.134413E+04
   0.205443E-03   0.136452E+04
   0.209594E-03   0.138530E+04
   0.213828E-03   0.140647E+04
   0.218147E-03   0.142804E+04
   0.222554E-03   0.145003E+04
   0.227050E-03   0.147243E+04
   0.231637E-03   0.149526E+04
   0.236316E-03   0.151852E+04
   0.241090E-03   0.154223E+04
   0.245960E-03   0.156638E+04
   0.250929E-03   0.159099E+04
   0.255998E-03   0.161607E+04
   0.261170E-03   0.164163E+04
   0.266446E-03   0.166767E+04
   0.271828E-03   0.169421E+04
   0.277319E-03   0.172125E+04
   0.282922E-03   0.174880E+04
   0.288637E-03   0.177687E+04
   0.294468E-03   0.180548E+04
   0.300417E-03   0.183462E+04
   0.306485E-03   0.186432E+04
   0.312677E-03   0.189458E+04
   0.318993E-03   0.192541E+04
   0.325437E-03   0.195683E+04
   0.332012E-03   0.198883E+04
   0.338719E-03   0.202145E+04
   0.345561E-03   0.205467E+04
   0.352542E-03   0.208853E+04
   0.359664E-03   0.212302E+04
   0.366930E-03   0.215816E+04
   0.374342E-03   0.219396E+04
   0.381904E-03   0.223044E+04
   0.389619E-03   0.226760E+04
   0.397490E-03   0.230546E+04
   0.405520E-03   0.234403E+04
   0.413712E-03   0.238332E+04
   0.422070E-03   0.242335E+04
   0.430596E-03   0.246413E+04
   0.439295E-03   0.250567E+04
   0.448169E-03   0.254799E+04
   0.457222E-03   0.259109E+04
   0.466459E-03   0.263500E+04
   0.475882E-03   0.267973E+04
   0.485496E-03   0.272529E+04
   0.495303E-03   0.277170E+04
   0.505309E-03   0.281896E+04
   0.515517E-03   0.286711E+04
   0.525931E-03   0.291614E+04
   0.536556E-03   0.296608E+04
   0.547395E-03   0.301695E+04
   0.558453E-03   0.306875E+04
   0.569734E-03   0.312151E+04
   0.581244E-03   0.317523E+04
   0.592986E-03   0.322995E+04
   0.604965E-03   0.328566E+04
   0.617186E-03   0.334240E+04
   0.629654E-03   0.340017E+04
   0.642374E-03   0.345900E+04
   0.655350E-03   0.351890E+04
   0.668589E-03   0.357988E+04
   0.682096E-03   0.364198E+04
   0.695875E-03   0.370520E+04
   0.709933E-03   0.376956E+04
   0.724274E-03   0.383509E+04
   0.738906E-03   0.390179E+04
   0.753832E-03   0.396969E+04
   0.769061E-03   0.403881E+04
   0.784597E-03   0.410917E+04
   0.800447E-03   0.418078E+04
   0.816617E-03   0.425367E+04
   0.833114E-03   0.432785E+04
   0.849944E-03   0.440335E+04
   0.867114E-03   0.448018E+04
   0.884631E-03   0.455837E+04
   0.902501E-03   0.463793E+04
   0.920733E-03   0.471889E+04
   0.939333E-03   0.480126E+04
   0.958309E-03   0.488506E+04
   0.977668E-03   0.497032E+04
   0.997418E-03   0.505706E+04
   0.101757E-02   0.514529E+04
   0.103812E-02   0.523505E+04
   0.105910E-02   0.532635E+04
   0.108049E-02   0.541922E+04
   0.110232E-02   0.551368E+04
   0.112459E-02   0.560975E+04
   0.114730E-02   0.570744E+04
   0.117048E-02   0.580679E+04
   0.119413E-02   0.590780E+04
   0.121825E-02   0.601051E+04
   0.124286E-02   0.611493E+04
   0.126797E-02   0.622108E+04
   0.129358E-02   0.632898E+04
   0.131971E-02   0.643866E+04
   0.134637E-02   0.655013E+04
   0.137357E-02   0.666342E+04
   0.140132E-02   0.677853E+04
   0.142963E-02   0.689550E+04
   0.145851E-02   0.701434E+04
   0.148797E-02   0.713506E+04
   0.151803E-02   0.725770E+04
   0.154870E-02   0.738226E+04
   0.157998E-02   0.750877E+04
   0.161190E-02   0.763723E+04
   0.164446E-02   0.776767E+04
   0.167768E-02   0.790011E+04
   0.171158E-02   0.803456E+04
   0.174615E-02   0.817103E+04
   0.178143E-02   0.830954E+04
   0.181741E-02   0.845010E+04
   0.185413E-02   0.859273E+04
   0.189158E-02   0.873743E+04
   0.192980E-02   0.888423E+04
   0.196878E-02   0.903313E+04
   0.200855E-02   0.918414E+04
   0.204913E-02   0.933727E+04
   0.209052E-02   0.949253E+04
   0.213276E-02   0.964992E+04
   0.217584E-02   0.980946E+04
   0.221979E-02   0.997115E+04
   0.226464E-02   0.101350E+05
   0.231039E-02   0.103010E+05
   0.235706E-02   0.104691E+05
   0.240467E-02   0.106395E+05
   0.245325E-02   0.108119E+05
   0.250281E-02   0.109866E+05
   0.255337E-02   0.111633E+05
   0.260495E-02   0.113423E+05
   0.265758E-02   0.115233E+05
   0.271126E-02   0.117066E+05
   0.276603E-02   0.118919E+05
   0.282191E-02   0.120793E+05
   0.287892E-02   0.122689E+05
   0.293708E-02   0.124605E+05
   0.299641E-02   0.126543E+05
   0.305694E-02   0.128500E+05
   0.311870E-02   0.130478E+05
   0.318170E-02   0.132476E+05
   0.324597E-02   0.134495E+05
   0.331155E-02   0.136532E+05
   0.337844E-02   0.138589E+05
   0.344669E-02   0.140665E+05
   0.351632E-02   0.142760E+05
   0.358735E-02   0.144873E+05
   0.365982E-02   0.147004E+05
   0.373376E-02   0.149153E+05
   0.380918E-02   0.151319E+05
   0.388613E-02   0.153501E+05
   0.396464E-02   0.155699E+05
   0.404473E-02   0.157914E+05
   0.412644E-02   0.160143E+05
   0.420980E-02   0.162387E+05
   0.429484E-02   0.164644E+05
   0.438160E-02   0.166915E+05
   0.447012E-02   0.169199E+05
   0.456042E-02   0.171494E+05
   0.465255E-02   0.173800E+05
   0.474653E-02   0.176117E+05
   0.484242E-02   0.178442E+05
   0.494024E-02   0.180777E+05
   0.504004E-02   0.183120E+05
   0.514186E-02   0.185470E+05
   0.524573E-02   0.187827E+05
   0.535170E-02   0.190189E+05
   0.545981E-02   0.192554E+05
   0.557011E-02   0.194922E+05
   0.568263E-02   0.197291E+05
   0.579743E-02   0.199659E+05
   0.591455E-02   0.202026E+05
   0.603403E-02   0.204390E+05
   0.615592E-02   0.206750E+05
   0.628028E-02   0.209106E+05
   0.640715E-02   0.211455E+05
   0.653658E-02   0.213796E+05
   0.666863E-02   0.216128E+05
   0.680335E-02   0.218448E+05
   0.694078E-02   0.220755E+05
   0.708100E-02   0.223047E+05
   0.722404E-02   0.225322E+05
   0.736998E-02   0.227579E+05
   0.751886E-02   0.229816E+05
   0.767075E-02   0.232032E+05
   0.782571E-02   0.234225E+05
   0.798380E-02   0.236393E+05
   0.814509E-02   0.238533E+05
   0.830963E-02   0.240644E+05
   0.847750E-02   0.242723E+05
   0.864875E-02   0.244769E+05
   0.882347E-02   0.246778E+05
   0.900171E-02   0.248748E+05
   0.918356E-02   0.250677E+05
   0.936908E-02   0.252563E+05
   0.955835E-02   0.254403E+05
   0.975144E-02   0.256194E+05
   0.994843E-02   0.257934E+05
   0.101494E-01   0.259621E+05
   0.103544E-01   0.261251E+05
   0.105636E-01   0.262822E+05
   0.107770E-01   0.264331E+05
   0.109947E-01   0.265776E+05
   0.112168E-01   0.267153E+05
   0.114434E-01   0.268460E+05
   0.116746E-01   0.269694E+05
   0.119104E-01   0.270852E+05
   0.121510E-01   0.271932E+05
   0.123965E-01   0.272929E+05
   0.126469E-01   0.273842E+05
   0.129024E-01   0.274667E+05
   0.131631E-01   0.275401E+05
   0.134290E-01   0.276041E+05
   0.137003E-01   0.276585E+05
   0.139770E-01   0.277029E+05
   0.142594E-01   0.277372E+05
   0.145474E-01   0.277609E+05
   0.148413E-01   0.277738E+05
   0.151411E-01   0.277756E+05
   0.154470E-01   0.277662E+05
   0.157590E-01   0.277452E+05
   0.160774E-01   0.277124E+05
   0.164022E-01   0.276676E+05
   0.167335E-01   0.276105E+05
   0.170716E-01   0.275411E+05
   0.174164E-01   0.274590E+05
   0.177683E-01   0.273642E+05
   0.181272E-01   0.272565E+05
   0.184934E-01   0.271358E+05
   0.188670E-01   0.270020E+05
   0.192481E-01   0.268551E+05
   0.196370E-01   0.266950E+05
   0.200337E-01   0.265218E+05
   0.204384E-01   0.263354E+05
   0.208513E-01   0.261359E+05
   0.212725E-01   0.259235E+05
   0.217022E-01   0.256984E+05
   0.221406E-01   0.254606E+05
   0.225879E-01   0.252105E+05
   0.230442E-01   0.249482E+05
   0.235097E-01   0.246742E+05
   0.239847E-01   0.243889E+05
   0.244692E-01   0.240926E+05
   0.249635E-01   0.237858E+05
   0.254678E-01   0.234691E+05
   0.259823E-01   0.231429E+05
   0.265072E-01   0.228081E+05
   0.270426E-01   0.224652E+05
   0.275889E-01   0.221149E+05
   0.281463E-01   0.217580E+05
   0.287149E-01   0.213953E+05
   0.292949E-01   0.210277E+05
   0.298867E-01   0.206562E+05
   0.304905E-01   0.202815E+05
   0.311064E-01   0.199047E+05
   0.317348E-01   0.195266E+05
   0.323759E-01   0.191484E+05
   0.330299E-01   0.187710E+05
   0.336972E-01   0.183953E+05
   0.343779E-01   0.180224E+05
   0.350724E-01   0.176532E+05
   0.357809E-01   0.172891E+05
   0.365038E-01   0.169310E+05
   0.372412E-01   0.165799E+05
   0.379935E-01   0.162365E+05
   0.387610E-01   0.159016E+05
   0.395440E-01   0.155754E+05
   0.403429E-01   0.152586E+05
   0.411579E-01   0.149513E+05
   0.419893E-01   0.146542E+05
   0.428375E-01   0.143684E+05
   0.437029E-01   0.140946E+05
   0.445858E-01   0.138339E+05
   0.454865E-01   0.135871E+05
   0.464053E-01   0.133541E+05
   0.473428E-01   0.131336E+05
   0.482992E-01   0.129246E+05
   0.492749E-01   0.127261E+05
   0.502703E-01   0.125369E+05
   0.512858E-01   0.123562E+05
   0.523219E-01   0.121830E+05
   0.533789E-01   0.120164E+05
   0.544572E-01   0.118556E+05
   0.555573E-01   0.116995E+05
   0.566796E-01   0.115470E+05
   0.578246E-01   0.113971E+05
   0.589927E-01   0.112484E+05
   0.601845E-01   0.110986E+05
   0.614003E-01   0.109458E+05
   0.626407E-01   0.107878E+05
   0.639061E-01   0.106229E+05
   0.651971E-01   0.104492E+05
   0.665142E-01   0.102652E+05
   0.678578E-01   0.100695E+05
   0.692287E-01   0.986113E+04
   0.706272E-01   0.963933E+04
   0.720539E-01   0.940449E+04
   0.735095E-01   0.915771E+04
   0.749945E-01   0.890025E+04
   0.765095E-01   0.863393E+04
   0.780551E-01   0.836073E+04
   0.796319E-01   0.808275E+04
   0.812406E-01   0.780257E+04
   0.828817E-01   0.752265E+04
   0.845561E-01   0.724558E+04
   0.862642E-01   0.697398E+04
   0.880068E-01   0.671036E+04
   0.897847E-01   0.645754E+04
   0.915985E-01   0.621805E+04
   0.934489E-01   0.599407E+04
   0.953367E-01   0.578763E+04
   0.972626E-01   0.560046E+04
   0.992274E-01   0.543322E+04
   0.101232E+00   0.528565E+04
   0.103277E+00   0.515723E+04
   0.105363E+00   0.504586E+04
   0.107492E+00   0.494906E+04
   0.109663E+00   0.486381E+04
   0.111879E+00   0.478638E+04
   0.114139E+00   0.471310E+04
   0.116445E+00   0.464019E+04
   0.118797E+00   0.456404E+04
   0.121197E+00   0.448148E+04
   0.123645E+00   0.438975E+04
   0.126143E+00   0.428714E+04
   0.128691E+00   0.417268E+04
   0.131291E+00   0.404657E+04
   0.133943E+00   0.390983E+04
   0.136649E+00   0.376462E+04
   0.139409E+00   0.361380E+04
   0.142226E+00   0.346125E+04
   0.145099E+00   0.331118E+04
   0.148030E+00   0.316810E+04
   0.151020E+00   0.303599E+04
   0.154071E+00   0.291789E+04
   0.157184E+00   0.281544E+04
   0.160359E+00   0.272877E+04
   0.163598E+00   0.265620E+04
   0.166903E+00   0.259528E+04
   0.170275E+00   0.254328E+04
   0.173715E+00   0.249673E+04
   0.177224E+00   0.245169E+04
   0.180804E+00   0.240409E+04
   0.184457E+00   0.235027E+04
   0.188183E+00   0.228785E+04
   0.191985E+00   0.221661E+04
   0.195863E+00   0.213830E+04
   0.199820E+00   0.205581E+04
   0.203856E+00   0.197251E+04
   0.207974E+00   0.189180E+04
   0.212176E+00   0.181696E+04
   0.216462E+00   0.175058E+04
   0.220835E+00   0.169393E+04
   0.225296E+00   0.164663E+04
   0.229847E+00   0.160681E+04
   0.234490E+00   0.157167E+04
   0.239227E+00   0.153790E+04
   0.244060E+00   0.150238E+04
   0.248990E+00   0.146297E+04
   0.254020E+00   0.141919E+04
   0.259152E+00   0.137212E+04
   0.264387E+00   0.132352E+04
   0.269728E+00   0.127578E+04
   0.275177E+00   0.123140E+04
   0.280736E+00   0.119215E+04
   0.286407E+00   0.115828E+04
   0.292193E+00   0.112854E+04
   0.298096E+00   0.110160E+04
   0.304118E+00   0.107524E+04
   0.310261E+00   0.104779E+04
   0.316529E+00   0.101865E+04
   0.322923E+00   0.987980E+03
   0.329447E+00   0.957308E+03
   0.336102E+00   0.927920E+03
   0.342892E+00   0.901124E+03
   0.349819E+00   0.876865E+03
   0.356885E+00   0.855046E+03
   0.364095E+00   0.834406E+03
   0.371450E+00   0.813943E+03
   0.378954E+00   0.793104E+03
   0.386609E+00   0.771837E+03
   0.394419E+00   0.750936E+03
   0.402387E+00   0.731021E+03
   0.410516E+00   0.712566E+03
   0.418809E+00   0.695478E+03
   0.427269E+00   0.679236E+03
   0.435901E+00   0.663418E+03
   0.444706E+00   0.647686E+03
   0.453690E+00   0.632079E+03
   0.462855E+00   0.616991E+03
   0.472206E+00   0.602707E+03
   0.481745E+00   0.589209E+03
   0.491477E+00   0.576318E+03
   0.501405E+00   0.563791E+03
   0.511534E+00   0.551528E+03
   0.521868E+00   0.539582E+03
   0.532411E+00   0.528058E+03
   0.543166E+00   0.517075E+03
   0.554139E+00   0.506536E+03
   0.565333E+00   0.496328E+03
   0.576753E+00   0.486387E+03
   0.588404E+00   0.476748E+03
   0.600291E+00   0.467442E+03
   0.612418E+00   0.458472E+03
   0.624789E+00   0.449806E+03
   0.637411E+00   0.441420E+03
